Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
3.705000162,6.424950123,1.741950035
3.130950212,7.11495018,1.780950069
3.744000196,7.000050545,1.704000115
4.318050385,6.732000351,2.54700017
4.585950375,6.76995039,2.54700017
4.893000126,7.804050446,2.54700017
6.961950302,6.577950478,3.65805006
11.59695053,5.620950222,4.845000267
6.577950478,6.922950268,1.972050071
4.777950287,14.0869503,3.006000042
0.2959500253,10.98405075,-0.9769500494
2.134950161,6.463050365,0.7840500474
4.279950142,5.467050076,-2.125950098
6.079950333,7.075950146,-1.360050082
6.885000229,8.68500042,-0.7090500593
4.930950165,7.000050545,-0.7849500179
3.475050211,8.455050468,2.00999999
3.399000168,9.259950638,-0.3250500262
3.973050117,7.612950325,-0.3250500262
4.126950264,7.191000462,-0.3640500307
4.624950409,7.996050358,-0.3640500307
4.012050152,7.536000252,-0.286950022
4.012050152,8.11095047,-0.2110500038
4.855050087,8.838000298,-0.2490000129
3.934950113,7.842000484,-1.582050085
4.279950142,7.34400034,-1.362000108
4.663050175,7.68900013,-2.470050097
4.701000214,8.340000153,-3.448950052
3.82005024,8.761950493,-3.015000105
6.195000172,9.720000267,-0.5500500202
6.157050133,8.494050026,-0.4789500237
6.310050488,9.412950516,-0.4789500237
3.475050211,8.647050858,-0.4399500191
1.099950075,8.379000664,-0.4789500237
0.5260500312,8.569950104,-1.245000005
5.199000359,9.910950661,-1.168050051
6.577950478,10.06395054,-0.5170500278
8.071949959,4.777950287,-1.780950069
6.349050522,6.079950333,6.339000225
6.540000439,6.234000206,3.696000099
5.083950043,6.540000439,-2.203050137
0.756000042,7.765950203,-2.203050137
1.94295013,7.038000107,2.431950092
3.705000162,6.5020504,3.235950232
5.391000271,5.50605011,2.431950092
6.732000351,5.697000504,2.431950092
7.765950203,5.850000381,3.696000099
11.32905006,6.079950333,3.696000099
10.60095024,6.885000229,4.423950195
4.777950287,19.79505157,-1.743000031
2.25,8.379000664,-3.237000227
2.593950033,3.552000284,1.704000115
0.9469500184,2.632050037,-1.933950067
3.399000168,9.337050438,-4.156050205
4.318050385,10.37100029,-4.884000301
3.781950235,5.7739501,0.670050025
6.004050255,7.191000462,-0.670050025
5.353050232,7.420950413,-0.6319500208
5.16105032,7.075950146,-0.05700000376
3.973050117,7.651050568,-0.7849500179
2.977050066,7.728000164,-0.7090500593
2.977050066,6.76995039,-0.670050025
4.43295002,7.383000374,-0.5940000415
3.82005024,8.455050468,-1.551000118
2.518050194,8.455050468,-1.513050079
2.901000023,7.918950558,-2.278950214
2.748000145,8.953050613,-3.12195015
2.556000233,9.412950516,-4.19505024
2.287950039,8.071949959,-4.19505024
2.901000023,7.651050568,-4.210950375
3.207000256,7.573950291,-3.085950136
2.287950039,6.732000351,-2.854050159
1.981050134,6.693000317,-2.892000198
2.173050165,7.68900013,-2.892000198
2.403000116,9.451050758,-3.772950172
1.905000091,10.63905048,-2.509050131
0.5260500312,9.796050072,-2.54700017
2.748000145,9.222000122,-3.390000105
3.705000162,8.800050735,-3.390000105
