Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
-4.759950161,-3.457950115,7.918950558
-4.759950161,-3.534000158,7.918050289
-4.683000088,-3.418950081,7.834050179
-4.759950161,-3.496050119,7.921050549
-4.722000122,-3.571950197,7.912050247
-4.683000088,-3.534000158,7.87005043
-4.759950161,-3.496050119,7.833000183
-4.722000122,-3.534000158,7.834950447
-4.798050404,-3.418950081,7.870950222
-4.759950161,-3.496050119,7.873050213
-4.759950161,-3.418950081,7.870950222
-4.759950161,-3.457950115,7.834050179
-4.722000122,-3.418950081,7.833000183
-4.798050404,-3.457950115,7.873950481
-4.683000088,-3.534000158,7.852050304
-4.759950161,-3.457950115,7.837050438
-4.759950161,-3.457950115,7.875000477
-4.683000088,-3.381000042,7.917000294
-4.798050404,-3.457950115,7.917000294
-4.683000088,-3.457950115,7.849050522
-4.798050404,-3.496050119,7.845000267
-4.759950161,-3.496050119,7.851000309
-4.837050438,-3.534000158,7.926000595
-4.683000088,-3.534000158,7.861050606
-4.759950161,-3.534000158,7.855950356
-4.875,-3.418950081,7.854000568
-4.798050404,-3.534000158,7.927050591
-4.683000088,-3.457950115,7.851000309
-4.722000122,-3.496050119,7.888950348
-4.645050049,-3.457950115,7.891050339
-4.722000122,-3.571950197,7.918950558
-4.798050404,-3.496050119,7.912050247
-4.722000122,-3.534000158,7.909950256
-4.798050404,-3.457950115,7.909950256
-4.759950161,-3.457950115,7.872000217
-4.798050404,-3.457950115,7.852050304
-4.798050404,-3.571950197,7.90500021
-4.798050404,-3.534000158,7.854000568
-4.759950161,-3.457950115,7.897050381
-4.759950161,-3.418950081,7.900950432
-4.798050404,-3.457950115,7.900950432
-4.759950161,-3.534000158,7.863000393
-4.798050404,-3.534000158,7.86000061
-4.722000122,-3.534000158,7.899000168
-4.759950161,-3.496050119,7.900050163
-4.798050404,-3.457950115,7.84005022
-4.759950161,-3.457950115,7.893000603
-4.798050404,-3.457950115,7.858950138
-4.722000122,-3.534000158,7.858050346
-4.759950161,-3.457950115,7.896000385
-4.798050404,-3.610950232,7.83795023
-4.722000122,-3.381000042,7.879950523
-4.722000122,-3.418950081,7.858950138
-4.722000122,-3.534000158,7.863000393
-4.798050404,-3.534000158,7.882950306
-4.912950039,-3.534000158,7.828050137
-4.722000122,-3.496050119,7.906050205
-4.798050404,-3.457950115,7.825050354
-4.759950161,-3.418950081,7.825950146
-4.722000122,-3.457950115,7.848000526
-4.759950161,-3.457950115,7.870950222
-4.722000122,-3.534000158,7.825950146
-4.759950161,-3.534000158,7.827000141
-4.722000122,-3.418950081,7.833000183
-4.875,-3.534000158,7.873050213
-4.759950161,-3.457950115,7.828950405
-4.759950161,-3.571950197,7.848000526
-4.759950161,-3.571950197,7.914000511
-4.759950161,-3.571950197,7.915050507
-4.759950161,-3.534000158,7.915050507
-4.759950161,-3.534000158,7.858950138
-4.875,-3.457950115,7.915050507
-4.759950161,-3.418950081,7.897050381
-4.722000122,-3.457950115,7.84005022
-4.759950161,-3.457950115,7.84005022
-4.798050404,-3.418950081,7.899000168
-4.722000122,-3.457950115,7.902000427
-4.875,-3.418950081,7.864050388
-4.759950161,-3.457950115,7.843950272
-4.722000122,-3.418950081,7.875000477
-4.606950283,-3.457950115,7.888050556
-4.837050438,-3.418950081,7.906950474
-4.798050404,-3.457950115,7.921050549
-4.798050404,-3.534000158,7.903050423
-4.722000122,-3.418950081,7.840950489
-4.722000122,-3.534000158,7.878000259
-4.759950161,-3.571950197,7.899000168
-4.798050404,-3.457950115,7.839000225
-4.798050404,-3.418950081,7.834050179
-4.722000122,-3.418950081,7.90500021
-4.759950161,-3.381000042,7.857000351
-4.837050438,-3.457950115,7.903050423
-4.798050404,-3.534000158,7.858050346
