Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
0.9090000391,4.471050262,-8.6749506
0.5640000105,4.510050297,-8.73900032
-0.04800000042,4.585950375,-8.683050156
-0.6229500175,4.701000214,-8.161950111
-0.7759500146,5.008050442,-7.372050285
-0.7759500146,5.236950397,-7.104000568
-0.46905002,5.314050198,-7.257000446
-0.1249500066,5.391000271,-7.372050285
0.4489500225,5.236950397,-8.193000793
0.5640000105,5.236950397,-8.292000771
0.756000042,5.083950043,-8.220000267
0.2959500253,5.008050442,-8.191050529
-0.01005000062,4.893000126,-8.347949982
0.02805000171,4.854000092,-8.478000641
-0.46905002,4.738950253,-8.54805088
-0.4309500158,4.777950287,-8.548950195
-0.5839500427,5.083950043,-8.533050537
-0.5460000038,5.314050198,-8.458050728
-0.5080500245,5.199000359,-8.447999954
-0.5460000038,5.083950043,-8.391000748
-0.2779500186,4.893000126,-8.389050484
-0.04800000042,4.930950165,-8.50605011
-0.01005000062,5.046000004,-8.433000565
-0.04800000042,5.083950043,-8.464050293
-0.2400000095,5.236950397,-8.457000732
-0.3160500228,5.16105032,-8.43900013
-0.01005000062,5.16105032,-8.358000755
-0.3160500228,5.275950432,-8.43405056
-0.6229500175,5.16105032,-8.362050056
-0.4309500158,5.314050198,-8.398950577
-0.04800000042,5.122950077,-8.391000748
0.1039500013,5.314050198,-8.376000404
0.1810500026,5.352000237,-8.314949989
0.02805000171,5.236950397,-8.332950592
0.1429500133,5.122950077,-8.329050064
-0.01005000062,5.16105032,-8.353050232
-0.201000005,5.083950043,-8.337000847
-0.4309500158,5.236950397,-8.352000237
-0.4309500158,5.122950077,-8.391000748
-0.5460000038,5.236950397,-8.314949989
-0.6229500175,5.16105032,-8.317950249
-0.7759500146,5.122950077,-8.355000496
-0.5839500427,4.816050053,-8.386950493
-0.5839500427,4.663050175,-8.473950386
-0.7380000353,4.663050175,-8.473950386
-0.8910000324,4.854000092,-8.568000793
-0.7380000353,5.16105032,-8.529000282
-0.5460000038,5.352000237,-8.431950569
-0.01005000062,5.7739501,-8.436000824
0.7170000076,5.889000416,-8.447999954
1.099950075,5.96505022,-7.855950356
1.291950107,6.004050255,-7.717050552
1.291950107,5.926950455,-7.219050407
0.9090000391,5.926950455,-7.410000324
0.8700000644,6.118950367,-7.030950546
1.099950075,6.004050255,-7.683000565
0.756000042,6.004050255,-7.821000576
0.5640000105,6.004050255,-7.807050228
0.4489500225,5.926950455,-7.833000183
0.02805000171,6.157050133,-7.699950218
0.3720000088,6.310050488,-7.699950218
1.024049997,6.195000172,-7.645950317
1.215000033,6.540000439,-7.572000504
1.368000031,6.234000206,-7.474950314
2.403000116,7.038000107,-7.084950447
3.399000168,7.536000252,-5.265000343
3.091950178,7.383000374,-5.149950027
2.556000233,7.038000107,-4.651950359
3.246000051,6.96105051,-5.035050392
2.977050066,6.922950268,-6.298950195
2.593950033,7.038000107,-5.716050148
2.671050072,7.038000107,-6.11400032
2.709000111,7.230000496,-6.178050518
2.824050188,7.230000496,-6.135000229
3.054000139,7.038000107,-6.169950485
2.901000023,7.11495018,-6.151950359
2.977050066,7.075950146,-6.105000496
2.977050066,7.11495018,-6.115050316
2.901000023,7.075950146,-6.196050167
2.977050066,7.230000496,-6.160950184
2.862000227,7.153050423,-6.106050491
2.901000023,7.000050545,-6.184050083
2.671050072,7.11495018,-6.26295042
2.671050072,7.267950535,-6.133950233
2.748000145,7.191000462,-6.112950325
2.785950184,7.306050301,-5.998950481
2.901000023,7.230000496,-6.082950115
2.862000227,7.420950413,-5.926050186
2.785950184,7.459050179,-5.854950428
2.785950184,7.34400034,-5.821050167
2.440950155,7.306050301,-5.989050388
2.440950155,7.306050301,-6.075000286
3.130950212,6.655050278,-6.268050194
2.173050165,6.234000206,-6.424050331
2.211000204,4.777950287,-2.50695014
-0.2400000095,6.157050133,-4.345950127
1.138950109,3.054000139,-4.422000408
3.859050274,2.326050043,-2.469000101
-0.3160500228,3.399000168,-3.886050224
0.06599999964,-1.159050107,-1.089000106
1.444950104,-1.006049991,0.1740000099
-0.3540000021,-1.236000061,0.44205001
-0.3160500228,-1.389000058,0.5190000534
-0.2779500186,-1.2739501,0.5950500369
-0.3930000067,-1.504050016,0.5950500369
-20.23695183,4.624950409,-13.92300034
-27.09405136,-30.12000084,-56.63700104
-7.057950497,-22.7269516,-11.12595081
39.60000229,29.14200211,0.02100000158
-1.504050016,-12.38295078,1.897950053
-2.883000135,-17.36400032,0.6720000505
-23.1100502,-29.92905235,0.1350000054
-1.84800005,-8.55300045,-35.91195297
-4.414950371,-4.645050049,-1.549050093
2.977050066,-1.389000058,9.253050804
4.012050152,-5.641050339,-11.05005074
2.556000233,2.211000204,-15.41700077
0.8700000644,0.1420500129,-12.73500061
-0.9289500713,0.6790500283,-4.19204998
2.901000023,1.522050023,-6.643950462
4.969050407,0.2190000117,-15.53205109
-1.963050127,0.1810500026,-12.39000034
2.095950127,2.095950127,-3.426000118
0.7170000076,0.1039500013,-10.16895008
0.7939500213,0.9090000391,-9.440999985
0.2580000162,0.5260500312,-9.4789505
0.4870500267,0.8320500255,-9.517050743
0.4489500225,0.6400500536,-9.249000549
0.6019500494,0.8700000644,-9.325950623
0.4489500225,0.7549500465,-9.819000244
0.4870500267,0.8320500255,-9.757050514
0.4110000134,0.7170000076,-9.768000603
0.5260500312,0.6790500283,-9.828000069
0.5640000105,0.7939500213,-9.814950943
0.4870500267,0.7939500213,-9.852000237
0.4489500225,0.8320500255,-9.841950417
0.4870500267,0.7939500213,-9.787950516
0.4110000134,0.7170000076,-9.790050507
0.5640000105,0.6019500494,-9.792000771
0.4870500267,0.7939500213,-9.846000671
0.4870500267,0.7939500213,-9.841950417
0.4489500225,0.7549500465,-9.80700016
0.4870500267,0.7170000076,-9.786000252
0.5640000105,0.7939500213,-9.808050156
0.4870500267,0.7170000076,-9.769050598
0.4870500267,0.7170000076,-9.840000153
0.4870500267,0.7549500465,-9.825000763
0.3340500295,0.7939500213,-9.808950424
0.4870500267,0.7549500465,-9.793050766
0.4489500225,0.8320500255,-9.82005024
