Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
-2.002050161,2.632050037,9.337050438
-1.159050107,2.74695015,9.387000084
-1.771950126,2.977050066,9.361050606
-1.2739501,3.322050095,9.259950638
-0.3160500228,2.556000233,9.942000389
-0.2400000095,1.866000056,11.40705013
-0.201000005,1.560000062,13.19505024
-1.120950103,1.597950101,11.09400082
-0.6990000606,1.905000091,10.32495022
0.2959500253,1.522050023,10.7659502
0.8320500255,0.9090000391,12.14595032
1.062000036,0.1810500026,13.96695042
0.9090000391,0.1810500026,13.72800064
1.024049997,0.8700000644,13.27695084
0.8320500255,1.597950101,13.20105076
0.8700000644,1.828050137,12.42300034
0.5260500312,1.905000091,12.21495056
0.2190000117,1.981050134,12.89295101
-0.01005000062,2.020050049,13.08600044
0.4870500267,1.905000091,12.97095108
0.6019500494,1.713000059,10.37100029
0.6019500494,1.750950098,9.733950615
0.6019500494,1.750950098,9.675000191
0.2959500253,1.828050137,9.658050537
0.4489500225,1.981050134,9.708000183
0.3340500295,1.905000091,9.703950882
0.1039500013,1.866000056,9.643950462
-0.2779500186,2.058000088,9.684000015
-0.3160500228,3.091950178,9.661950111
1.368000031,2.785950184,10.06200027
-0.2779500186,1.024049997,10.04805088
-1.2739501,0.3340500295,15.2310009
-0.7380000353,1.291950107,13.27695084
-0.2400000095,1.828050137,12.47295094
-0.7380000353,1.099950075,12.54900074
-1.504050016,0.7549500465,12.0510006
-1.579950094,1.252950072,12.35805035
-1.081950068,2.095950127,12.16605091
-0.9289500713,1.905000091,10.56900024
-1.350000024,1.291950107,10.43595028
-1.734000087,1.522050023,9.706950188
-1.312050104,2.248950005,9.685050011
-0.8140500188,2.901000023,10.87200069
-0.2779500186,2.938950062,11.10795021
-0.5080500245,2.593950033,10.70700073
-0.7380000353,2.287950039,10.75500011
-0.6229500175,2.364000082,10.8070507
-0.7759500146,2.518050194,10.37595081
-0.2779500186,2.862000227,9.511950493
-0.04800000042,3.130950212,9.475950241
0.3340500295,2.977050066,9.429000854
-0.1630500108,2.901000023,9.466950417
-0.01005000062,3.552000284,9.426000595
0.2190000117,3.514050245,9.318000793
0.2190000117,2.440950155,9.337950706
0.8320500255,2.479050159,9.433950424
0.3720000088,2.479050159,9.505950928
-0.3540000021,1.789950132,9.708000183
0.6409500241,2.020050049,10.31700039
1.138950109,1.866000056,11.32500076
0.9090000391,1.522050023,10.9789505
-0.1630500108,1.597950101,9.661050797
0.3340500295,2.134050131,9.973950386
0.3340500295,2.134050131,9.973950386
0.6019500494,3.436950207,10.84905052
-0.3160500228,3.28395009,12.51105022
-0.3160500228,3.28395009,12.51105022
-0.7380000353,2.74695015,12.66405106
-0.5080500245,2.440950155,13.73700047
-0.8140500188,2.518050194,12.37395096
-0.3540000021,2.671050072,11.55000019
-0.2779500186,2.440950155,10.45200062
-0.08595000207,2.901000023,9.517950058
0.1810500026,3.207000256,9.42195034
0.06599999964,2.862000227,9.493050575
-0.1249500066,3.054000139,9.436950684
-0.6229500175,3.589950085,9.426000595
0.2959500253,4.012050152,9.240000725
0.06599999964,2.403000116,9.313950539
-1.120950103,1.789950132,11.49795055
-0.5460000038,2.211000204,11.79900074
0.06599999964,2.671050072,10.92000008
0.7170000076,2.632050037,10.90905094
0.2580000162,1.560000062,11.99805069
-2.002050161,1.94295013,13.12395096
-2.806050062,2.326050043,12.20505047
-2.538000107,2.593950033,12.39600086
-2.730000019,2.593950033,12.20505047
-2.575950146,2.824050188,12.54900074
-2.002050161,1.981050134,13.23900032
-3.496050119,1.866000056,13.27695084
-0.5460000038,3.667050123,11.97495079
-0.5460000038,4.203000069,10.71000004
-2.883000135,3.360000134,11.59200096
-2.077950001,2.977050066,12.97095108
-1.695000052,3.244950056,12.97095108
-1.887000084,3.28395009,12.12795067
-1.618950129,3.322050095,12.24300098
-1.465050101,3.322050095,12.70305061
-1.465050101,3.436950207,12.54900074
-1.542000055,3.973050117,9.286050797
-1.963050127,3.897000074,8.971050262
-1.465050101,2.862000227,9.05505085
-1.389000058,1.67505002,11.49495029
-1.197000027,1.750950098,13.73700047
-1.504050016,2.211000204,12.01305103
-0.2779500186,2.440950155,11.28495026
0.1039500013,2.134050131,11.36205101
-0.5460000038,1.177050114,12.54900074
0.02805000171,0.6790500283,13.58400059
0.4489500225,1.330050111,13.46895027
0.3720000088,2.364000082,12.78300095
0.2959500253,3.0160501,12.24300098
-0.4309500158,3.207000256,12.43395042
-1.006049991,3.207000256,12.54900074
-1.04400003,3.0160501,12.39600086
-0.7759500146,2.901000023,13.20105076
-1.04400003,2.364000082,13.16205025
-1.236000061,2.211000204,11.32905006
-1.197000027,2.248950005,10.28205013
-0.6229500175,2.593950033,9.514050484
-0.2400000095,2.440950155,9.460050583
-0.7380000353,2.593950033,9.49905014
-1.006049991,3.0160501,9.513000488
-0.3930000067,2.593950033,9.48195076
-1.197000027,0.9850500226,9.829050064
-2.116950035,0.2190000117,14.23500061
-1.579950094,0.6400500536,13.92795086
-1.006049991,0.2569500208,13.20105076
-1.695000052,0.5640000105,12.81705093
-1.618950129,1.138050079,11.36205101
-2.0400002,1.407000065,11.20905018
-2.116950035,1.444950104,10.27605057
-2.61495018,1.368000031,9.607050896
-2.500050068,1.407000065,9.720000267
-2.61495018,1.407000065,9.897000313
-2.691000223,1.177050114,9.439949989
-2.232000113,1.177050114,9.451050758
-1.963050127,1.252950072,9.517050743
-1.695000052,1.636050105,9.501000404
-1.695000052,1.750950098,9.502950668
-1.84800005,1.67505002,9.529950142
-1.771950126,1.713000059,9.583950043
-1.542000055,1.866000056,9.589950562
-1.159050107,2.173050165,9.516000748
-0.9670500755,2.403000116,9.556950569
-0.9289500713,2.364000082,9.562050819
-0.8910000324,2.709000111,9.586050034
-0.8910000324,2.938950062,9.589950562
-0.9289500713,2.173050165,9.55095005
-1.618950129,0.9850500226,9.49695015
-1.771950126,1.062000036,11.51505089
-1.197000027,1.750950098,11.92995071
-1.006049991,1.789950132,11.44995022
0.02805000171,1.866000056,10.90200043
0.756000042,1.252950072,13.24305058
0.2190000117,0.4489500225,14.425951
0.1810500026,0.4110000134,14.46495056
0.7170000076,1.215000033,13.81305027
0.8320500255,1.750950098,12.93195057
0.6790500283,1.905000091,12.35100079
0.5260500312,2.134050131,11.34495068
0.6409500241,2.173050165,11.91300011
0.2580000162,2.248950005,12.82695103
0.02805000171,2.173050165,12.67695045
-0.1630500108,2.173050165,10.07805061
-0.2779500186,2.173050165,9.741000175
-0.8520000577,2.095950127,9.739050865
-0.6610500216,2.326050043,10.10595036
-0.2400000095,2.095950127,10.02495003
0.02805000171,1.981050134,9.613950729
0.06599999964,1.981050134,9.652950287
0.2959500253,1.828050137,9.640950203
0.1429500133,1.636050105,9.630000114
-0.5080500245,2.248950005,9.636000633
0.6019500494,2.248950005,9.624000549
0.2959500253,1.252950072,9.637050629
-1.618950129,2.211000204,10.61205006
-0.2779500186,3.742950201,11.86305046
0.2580000162,2.593950033,12.14100075
-1.579950094,1.138050079,13.08600044
-2.61495018,0.7549500465,13.6990509
-2.155050039,1.750950098,12.47295094
-1.887000084,2.403000116,10.36605072
-2.002050161,2.364000082,11.59200096
-1.771950126,2.479050159,12.85605049
-1.236000061,2.364000082,14.15805054
-1.887000084,1.905000091,12.35505104
-2.61495018,1.483050108,12.4470005
-2.422950029,2.020050049,9.43005085
-2.155050039,2.211000204,9.34995079
-2.500050068,2.211000204,9.370950699
-2.730000019,2.020050049,9.327000618
-2.385000229,1.866000056,9.402000427
-2.155050039,1.981050134,9.325950623
-2.002050161,2.095950127,9.345000267
-1.350000024,2.479050159,9.451050758
-1.2739501,2.824050188,9.462000847
-1.159050107,2.173050165,10.82505035
-1.504050016,1.483050108,11.13600063
-1.657050133,1.444950104,9.523950577
-1.504050016,2.095950127,9.475950241
-0.6229500175,2.287950039,9.465000153
0.5640000105,1.789950132,12.41505051
-0.1630500108,1.750950098,14.04300022
-0.3160500228,2.020050049,11.74500084
-0.201000005,2.020050049,11.43795013
-0.5080500245,1.560000062,12.28095055
-0.9289500713,1.407000065,12.0180006
-0.8520000577,1.368000031,10.20495033
-0.7380000353,1.67505002,9.642000198
-0.8520000577,2.287950039,9.700950623
-0.5460000038,2.824050188,9.609000206
-0.7759500146,3.322050095,10.80405045
-0.7759500146,3.130950212,12.39600086
-1.006049991,2.74695015,12.09000015
-1.197000027,2.403000116,12.34695053
-1.2739501,2.479050159,10.90200043
-1.2739501,2.593950033,9.495000839
-1.657050133,2.593950033,9.460950851
-1.389000058,2.632050037,9.454050064
-0.8520000577,2.977050066,9.480000496
-0.7380000353,2.824050188,9.400050163
-1.159050107,2.901000023,9.397050858
-1.04400003,3.244950056,9.372000694
-1.312050104,2.709000111,9.343950272
-1.734000087,1.483050108,9.396000862
-2.116950035,0.7170000076,14.80005074
-1.771950126,0.7549500465,14.77095032
-0.8910000324,1.099950075,12.93195057
-0.4309500158,0.9850500226,12.93195057
-1.542000055,1.062000036,12.54900074
-1.924950123,1.407000065,12.20505047
-1.618950129,1.560000062,10.21305084
-1.2739501,1.368000031,10.23600006
-0.9289500713,0.9090000391,10.70805073
-1.618950129,1.062000036,9.782999992
-1.734000087,2.134050131,9.838950157
-1.312050104,3.130950212,10.89495087
-0.9289500713,3.436950207,11.66805077
-1.2739501,3.130950212,12.66405106
-1.465050101,2.556000233,13.23900032
-1.81005013,2.248950005,13.46895027
-1.618950129,2.632050037,13.23900032
-0.6990000606,3.091950178,12.40800095
-1.04400003,3.360000134,9.399000168
-1.887000084,3.322050095,9.286950111
